brand,mold,year,plasticType,description
Innova,Firebird,2015,Color Glow Champion,The Original (Seafoam). Mellow and gummy.
Innova,Firebird,2016,Color Glow Champion,Flatter and more overstable than 2015.
Innova,Firebird,2017,Color Glow Champion,Slightly more dome; widely considered very throwable.
Innova,Firebird,2018,Color Glow Champion,"Similar to 2017; reliable, moderate dome."
Innova,Firebird,2019,Color Glow Champion,Stiffer and significantly more overstable (Beefy).
Innova,Firebird,2020,Color Glow Champion,Consistent with 2019; varied stamp foils.
Innova,Firebird,2021,Color Glow Champion,Massive production run; very consistent and accessible.
Innova,Firebird,2022,Color Glow Champion,Known for being gummier and slightly more mellow.
Innova,Firebird,2023,Color Glow Champion,Classic glow blend with modern stamp aesthetics.
Innova,Firebird,2024,Proto Glow Halo Champion,10th Anniversary. Introduced Halo rim and Proto Glow.
Innova,Firebird,2025,Proto Glow Champion,"Features improved, brighter Proto Glow formula."
Innova,Firebird,2026,Proto Glow Champion,Latest release; continuing high-brightness evolution.
